file_id,source,relative_path,file_name,file_extension,mime_type,is_video,category_path,input_component_weak,observation_weak,expected_fault_type_v2,expected_recipient_type,ocr_needed,serial_number_expected,brand_model_expected,bbox_needed,bbox_priority,review_status,notes
5db7156069f1f671a1f3349ecf9fd9c635d61116,local_round2_images,Charger/Charger No Light/5fb4cb16-5e78-437c-89c7-eb6387cfc14d.jpg,5fb4cb16-5e78-437c-89c7-eb6387cfc14d.jpg,jpg,image/jpeg,false,Charger/Charger No Light,charger,charger_no_light,supply_issue,customer,no,no,no,optional_subset,low,weak_labeled,
cf03b23fc7dbe23114bee9dbf929763ed2c55bdb,local_round2_images,Charger/Charger No Light/957704b3-bc37-4561-83a3-9a474acb671d.jpg,957704b3-bc37-4561-83a3-9a474acb671d.jpg,jpg,image/jpeg,false,Charger/Charger No Light,charger,charger_no_light,supply_issue,customer,no,no,no,optional_subset,low,weak_labeled,
0734ecdce018b9871113d50049027948ed11a57c,local_round2_images,Charger/Charger No Light/d3a820f0-df54-4381-bfa6-cf8548ffe573.jpg,d3a820f0-df54-4381-bfa6-cf8548ffe573.jpg,jpg,image/jpeg,false,Charger/Charger No Light,charger,charger_no_light,supply_issue,customer,no,no,no,optional_subset,low,weak_labeled,
ab9cddc90c0169e50e9cfe2d6ddef9c0a010e146,local_round2_images,Charger/Charger Red Light/2fbc9fb3-0f30-42df-ad40-95d1a11293b4.jpg,2fbc9fb3-0f30-42df-ad40-95d1a11293b4.jpg,jpg,image/jpeg,false,Charger/Charger Red Light,charger,charger_red_light,charger_issue,after_sales_team,maybe,no,no,yes_subset,high,weak_labeled,
3bf6281396695f47217cf48ecfab509d1b729480,local_round2_images,Charger/Charger Red Light/58259ffd-be3d-4dfc-8b7b-959aff134b90.jpg,58259ffd-be3d-4dfc-8b7b-959aff134b90.jpg,jpg,image/jpeg,false,Charger/Charger Red Light,charger,charger_red_light,charger_issue,after_sales_team,maybe,no,no,yes_subset,high,weak_labeled,
8db2787b5b9b20780320c7100c574e877b2beb7a,local_round2_images,Charger/Charger Red Light/9f8b6940-3fbe-43d5-9014-8ba2befa3c5d.jpg,9f8b6940-3fbe-43d5-9014-8ba2befa3c5d.jpg,jpg,image/jpeg,false,Charger/Charger Red Light,charger,charger_red_light,charger_issue,after_sales_team,maybe,no,no,yes_subset,high,weak_labeled,
6c7ead6c46bbb0bce4d58ee2d435832334b4192e,local_round2_images,Charger/Charger Red Light/bb558e8a-b83c-4e17-9586-5ff061038167.jpg,bb558e8a-b83c-4e17-9586-5ff061038167.jpg,jpg,image/jpeg,false,Charger/Charger Red Light,charger,charger_red_light,charger_issue,after_sales_team,maybe,no,no,yes_subset,high,weak_labeled,
20890efc8e57233df1f8e2d3d20b679750618c47,local_round2_images,Charger/Charger Red Light/ff6bdb5e-a985-4bfd-b2b1-0c9d1148c196.jpg,ff6bdb5e-a985-4bfd-b2b1-0c9d1148c196.jpg,jpg,image/jpeg,false,Charger/Charger Red Light,charger,charger_red_light,charger_issue,after_sales_team,maybe,no,no,yes_subset,high,weak_labeled,
06bee2557015c86b18c5d3ece27622c8b3d8b7c2,local_round2_images,Charger/Charger Red Light/WhatsApp Video 2026-04-13 at 8.38.15 PM.mp4,WhatsApp Video 2026-04-13 at 8.38.15 PM.mp4,mp4,video/mp4,true,Charger/Charger Red Light,charger,charger_red_light,charger_issue,after_sales_team,maybe,no,no,yes_subset,high,weak_labeled,
2ecfca2f69c12eee1bdab17378351968ca14503a,local_round2_images,Charger/Charger Serial Number- Id/069eed6c-33b3-47e4-982b-bbab75ff3ed1.jpg,069eed6c-33b3-47e4-982b-bbab75ff3ed1.jpg,jpg,image/jpeg,false,Charger/Charger Serial Number- Id,charger,charger_serial_brand_visible,identification_only,none,yes,yes,yes,yes_subset,high,weak_labeled,
056a72fcd61a648c668293afa06930e0f8ac8c79,local_round2_images,Charger/Charger Serial Number- Id/0a341d4d-d425-4e61-8546-630a0283e101.jpg,0a341d4d-d425-4e61-8546-630a0283e101.jpg,jpg,image/jpeg,false,Charger/Charger Serial Number- Id,charger,charger_serial_brand_visible,identification_only,none,yes,yes,yes,yes_subset,high,weak_labeled,
e713b35391278e364426d523a6bf67eb8de89e38,local_round2_images,Charger/Charger Serial Number- Id/0e1ffc47-256f-4346-a272-535c778b34d2.jpg,0e1ffc47-256f-4346-a272-535c778b34d2.jpg,jpg,image/jpeg,false,Charger/Charger Serial Number- Id,charger,charger_serial_brand_visible,identification_only,none,yes,yes,yes,yes_subset,high,weak_labeled,
7bc26bf71773a24c1e4ece48f969642b5d3fa6c3,local_round2_images,Charger/Charger Serial Number- Id/0fb0f1d8-26bd-4ddd-937a-8873e8b98756.jpg,0fb0f1d8-26bd-4ddd-937a-8873e8b98756.jpg,jpg,image/jpeg,false,Charger/Charger Serial Number- Id,charger,charger_serial_brand_visible,identification_only,none,yes,yes,yes,yes_subset,high,weak_labeled,
59beb757c11955c9a8cac3014298ed1c4db6bde3,local_round2_images,Charger/Charger Serial Number- Id/316c405b-02aa-4152-ad75-bc4ab50a3cf4.jpg,316c405b-02aa-4152-ad75-bc4ab50a3cf4.jpg,jpg,image/jpeg,false,Charger/Charger Serial Number- Id,charger,charger_serial_brand_visible,identification_only,none,yes,yes,yes,yes_subset,high,weak_labeled,
8321cae7e949667275b56247ac684dce169707c1,local_round2_images,Charger/Charger Serial Number- Id/31b719b8-42df-47fe-aa4a-3b5e3ff0705f.jpg,31b719b8-42df-47fe-aa4a-3b5e3ff0705f.jpg,jpg,image/jpeg,false,Charger/Charger Serial Number- Id,charger,charger_serial_brand_visible,identification_only,none,yes,yes,yes,yes_subset,high,weak_labeled,
02432c6541d6fedc9a05795a4628db6a6cd593f4,local_round2_images,Charger/Charger Serial Number- Id/33c4c611-3a04-4fae-b91b-ab0b7611e234.jpg,33c4c611-3a04-4fae-b91b-ab0b7611e234.jpg,jpg,image/jpeg,false,Charger/Charger Serial Number- Id,charger,charger_serial_brand_visible,identification_only,none,yes,yes,yes,yes_subset,high,weak_labeled,
c5eda9f91cb368efcffcf2a1c7fa14bc99cfb3b6,local_round2_images,Charger/Charger Serial Number- Id/388a11a8-e9d2-45a4-91a8-a962d9f78a08.jpg,388a11a8-e9d2-45a4-91a8-a962d9f78a08.jpg,jpg,image/jpeg,false,Charger/Charger Serial Number- Id,charger,charger_serial_brand_visible,identification_only,none,yes,yes,yes,yes_subset,high,weak_labeled,
d4f9e733c395e7bc2fa6bcaa802155ff8a7b06d3,local_round2_images,Charger/Charger Serial Number- Id/3b303b03-e127-40ff-b3cc-4f5c135e6773.jpg,3b303b03-e127-40ff-b3cc-4f5c135e6773.jpg,jpg,image/jpeg,false,Charger/Charger Serial Number- Id,charger,charger_serial_brand_visible,identification_only,none,yes,yes,yes,yes_subset,high,weak_labeled,
188e9feb786ab69780bb75c0136d0dd781a464df,local_round2_images,Charger/Charger Serial Number- Id/44c36107-3eca-419f-8145-c93d679ff7f3.jpg,44c36107-3eca-419f-8145-c93d679ff7f3.jpg,jpg,image/jpeg,false,Charger/Charger Serial Number- Id,charger,charger_serial_brand_visible,identification_only,none,yes,yes,yes,yes_subset,high,weak_labeled,
